PERMNO,date,TICKER,PRC,VOL
84788,20070206,AMZN,38.27000,8620345
84788,20070207,AMZN,38.98000,10506579
84788,20070208,AMZN,39.10000,5485265
84788,20070209,AMZN,38.72000,5960232
84788,20070212,AMZN,38.85000,3836064
84788,20070213,AMZN,39.31000,4509383
84788,20070214,AMZN,40.14000,6824385
84788,20070215,AMZN,40.06000,5090382
84788,20070216,AMZN,40.33000,4681497
84788,20070220,AMZN,41.51000,8911609
84788,20070221,AMZN,41.26000,4531115
84788,20070222,AMZN,41.00000,4942622
84788,20070223,AMZN,40.78000,6155674
84788,20070226,AMZN,40.87990,4044989
84788,20070227,AMZN,38.83000,8873794
84788,20070228,AMZN,39.14000,7699344
84788,20070301,AMZN,38.85000,9243622
84788,20070302,AMZN,37.69000,7788102
84788,20070305,AMZN,37.05000,9572584
84788,20070306,AMZN,38.58000,12856567
84788,20070307,AMZN,38.36000,8648609
84788,20070308,AMZN,38.10000,7629786
84788,20070309,AMZN,38.84000,6202503
84788,20070312,AMZN,38.81000,4880946
84788,20070313,AMZN,37.82000,5204016
84788,20070314,AMZN,38.08000,8592814
84788,20070315,AMZN,37.78000,7267614
84788,20070316,AMZN,37.85000,6875987
84788,20070319,AMZN,38.45000,4226684
84788,20070320,AMZN,38.58000,3803209
84788,20070321,AMZN,39.80000,4998813
84788,20070322,AMZN,39.49000,5386403
84788,20070323,AMZN,38.98000,2941846
84788,20070326,AMZN,39.01000,3521180
84788,20070327,AMZN,39.37000,3995537
84788,20070328,AMZN,39.34000,6232783
84788,20070329,AMZN,39.81000,6406583
84788,20070330,AMZN,39.79000,5997508
84788,20070402,AMZN,40.42000,7091398
84788,20070403,AMZN,41.19000,5968492
84788,20070404,AMZN,41.53000,4066520
84788,20070405,AMZN,41.68000,3290494
84788,20070409,AMZN,41.66000,4184182
84788,20070410,AMZN,41.86000,3430074
84788,20070411,AMZN,41.68000,5124457
84788,20070412,AMZN,42.27000,4756085
84788,20070413,AMZN,42.41000,3617488
84788,20070416,AMZN,45.20000,13446410
84788,20070417,AMZN,45.07000,7609630
84788,20070418,AMZN,44.99000,5013015
84788,20070419,AMZN,44.64000,4811210
84788,20070420,AMZN,44.95000,6677586
84788,20070423,AMZN,44.77000,7118544
84788,20070424,AMZN,44.75000,21462812
84788,20070425,AMZN,56.81000,104463043
84788,20070426,AMZN,62.78100,62451660
84788,20070427,AMZN,62.60100,50795877
84788,20070430,AMZN,61.33000,24105084
84788,20070501,AMZN,62.04000,18544789
